genre_name,snapshot_membership_count,avg_rating,avg_price_usd,avg_size_bytes
Action,382,4.2866666666666667,0.24143979057591623037,53032045.868804664723
Action & Adventure,138,4.3155555555555556,0.49862318840579710145,50729049.495798319328
Adventure,91,4.2191011235955056,0.73461538461538461538,42083672.541176470588
Arcade,237,4.3080717488789238,0.28168776371308016878,44024289.421800947867
Art & Design,69,4.3492307692307692,0.08652173913043478261,13099134.000000000000
Auto & Vehicles,85,4.1904109589041096,0.15847058823529411765,21010115.213333333333
Beauty,53,4.2785714285714286,0.00000000000000000000,14465886.723404255319
Board,63,4.3000000000000000,0.87206349206349206349,25783858.355932203390
Books & Reference,234,4.3444444444444444,0.54166666666666666667,14366052.345000000000
Brain Games,70,4.3623188405797101,0.51271428571428571429,32750523.746031746032
Business,460,4.1214521452145215,0.40276086956521739130,15174863.345000000000
Card,51,4.1020833333333333,0.38078431372549019608,31422636.977777777778
Casino,39,4.2864864864864865,0.35897435897435897436,32681646.676470588235
Casual,270,4.1851145038167939,0.21048148148148148148,37527517.443037974684
Comics,60,4.1551724137931034,0.00000000000000000000,14139910.039215686275
Communication,388,4.1586626139817629,0.21427835051546391753,12337202.249056603774
Creativity,37,4.3111111111111111,0.45810810810810810811,40530739.218750000000
Dating,234,3.9707692307692308,0.13431623931623931624,17433157.523584905660
Education,711,4.3067741935483871,0.44970464135021097046,21464599.253943217666
Educational,112,4.1097087378640777,0.41928571428571428571,49249802.733333333333
Entertainment,667,4.1013864818024263,2.4963718140929535,16750751.649029982363
Events,64,4.4355555555555556,1.7185937500000000,14641913.719298245614
Finance,366,4.1318885448916409,7.9257650273224044,18799195.039087947883
Food & Drink,127,4.1669724770642202,0.06677165354330708661,23262658.550000000000
Health & Fitness,343,4.2772575250836120,0.19632653061224489796,24239358.063909774436
House & Home,88,4.1973684210526316,0.00000000000000000000,16754712.117647058824
Libraries & Demo,85,4.1784615384615385,0.01164705882352941176,11617543.475609756098
Lifestyle,383,4.0955555555555556,6.1641514360313316,15470806.886956521739
Maps & Navigation,137,4.0516129032258065,0.19671532846715328467,17421427.666666666667
Medical,463,4.1891428571428571,3.1100647948164147,20581927.633640552995
Music,25,4.2541666666666667,0.15920000000000000000,43698025.052631578947
Music & Audio,1,4.3000000000000000,0.00000000000000000000,10276045.000000000000
Music & Video,47,4.2276595744680851,0.04234042553191489362,29268800.387096774194
News & Magazines,283,4.1321888412017167,0.01406360424028268551,13656249.865740740741
Parenting,60,4.3000000000000000,0.15966666666666666667,23606552.648148148148
Personalization,392,4.3359872611464968,0.39275510204081632653,11846196.777464788732
Photography,335,4.1921135646687697,0.40062686567164179104,18211221.559055118110
Pretend Play,90,4.2460674157303371,0.96911111111111111111,49201114.333333333333
Productivity,424,4.2113960113960114,0.59181603773584905660,13611443.947194719472
Puzzle,167,4.3864864864864865,0.31167664670658682635,36375336.509803921569
Racing,119,4.1982456140350877,0.09210084033613445378,52529585.456310679612
Role Playing,123,4.2689075630252101,1.5206504065040650,52128694.478632478632
Shopping,260,4.2596638655462185,0.02107692307692307692,16960778.965174129353
Simulation,218,4.1721698113207547,0.25862385321100917431,47558575.681372549020
Social,295,4.2555984555984556,0.05413559322033898305,18540576.185714285714
Sports,402,4.2379821958456973,0.26860696517412935323,27745172.293577981651
Strategy,111,4.2560747663551402,0.46270270270270270270,54597587.386138613861
Tools,843,4.0474114441416894,0.31702253855278766311,9196363.041948579161
Travel & Local,258,4.1092920353982301,0.19360465116279069767,25852077.875000000000
Trivia,39,4.0392857142857143,0.00000000000000000000,22260164.710526315789
Video Players & Editors,178,4.0631901840490798,0.05876404494382022472,16943267.225563909774
Weather,82,4.2440000000000000,0.39536585365853658537,13761518.052631578947
Word,29,4.4107142857142857,0.00000000000000000000,37455134.680000000000
