genre_name,weighted_snapshot_count,weighted_reviews_count,weighted_installs_count,avg_rating_unweighted,avg_rating_weighted
Action,373.500000000000,351475716.500000000000,9386049440.000000000000,4.2866666666666667,4.2860845839017735
Action & Adventure,69.000000000000,55087092.500000000000,1097008250.500000000000,4.3155555555555556,4.3155555555555556
Adventure,83.000000000000,50094148.000000000000,869820320.000000000000,4.2191011235955056,4.2018518518518519
Arcade,228.500000000000,340042135.000000000000,10760234155.500000000000,4.3080717488789238,4.3062790697674419
Art & Design,63.500000000000,1703852.500000000000,124233100.000000000000,4.3492307692307692,4.3537190082644628
Auto & Vehicles,85.000000000000,1163666.000000000000,53130211.000000000000,4.1904109589041096,4.1904109589041096
Beauty,53.000000000000,396240.000000000000,27197050.000000000000,4.2785714285714286,4.2785714285714286
Board,53.500000000000,4393165.500000000000,174070810.000000000000,4.3000000000000000,4.2970297029702970
Books & Reference,232.500000000000,21959309.000000000000,1921475126.000000000000,4.3444444444444444,4.3452513966480447
Brain Games,35.000000000000,2694170.000000000000,143652050.000000000000,4.3623188405797101,4.3623188405797101
Business,460.000000000000,13954552.000000000000,1001914865.000000000000,4.1214521452145215,4.1214521452145215
Card,49.500000000000,7378244.500000000000,168376100.000000000000,4.1020833333333333,4.0946236559139785
Casino,39.000000000000,5103971.000000000000,130260700.000000000000,4.2864864864864865,4.2864864864864865
Casual,231.500000000000,435388986.500000000000,10064072240.000000000000,4.1851145038167939,4.1709172259507830
Comics,59.500000000000,3383018.000000000000,56061150.000000000000,4.1551724137931034,4.1495652173913043
Communication,387.500000000000,815463999.000000000000,32647526251.000000000000,4.1586626139817629,4.1585996955859970
Creativity,18.500000000000,843129.000000000000,46457800.000000000000,4.3111111111111111,4.3111111111111111
Dating,234.000000000000,7291278.000000000000,264310807.000000000000,3.9707692307692308,3.9707692307692308
Education,655.000000000000,62469272.500000000000,1366704588.000000000000,4.3067741935483871,4.3079086115992970
Educational,74.500000000000,3418438.500000000000,210935136.000000000000,4.1097087378640777,4.0533333333333333
Entertainment,645.000000000000,101284850.000000000000,5252414684.000000000000,4.1013864818024263,4.0956756756756757
Events,64.000000000000,161018.000000000000,15973161.000000000000,4.4355555555555556,4.4355555555555556
Finance,366.000000000000,17550728.000000000000,876648734.000000000000,4.1318885448916409,4.1318885448916409
Food & Drink,127.000000000000,8883330.000000000000,273898751.000000000000,4.1669724770642202,4.1669724770642202
Health & Fitness,342.000000000000,37914201.500000000000,1583622512.000000000000,4.2772575250836120,4.2771812080536913
House & Home,88.000000000000,3976385.000000000000,168712461.000000000000,4.1973684210526316,4.1973684210526316
Libraries & Demo,85.000000000000,1037118.000000000000,62995910.000000000000,4.1784615384615385,4.1784615384615385
Lifestyle,382.000000000000,12813859.500000000000,532693539.000000000000,4.0955555555555556,4.0953821656050955
Maps & Navigation,137.000000000000,30659254.000000000000,724281890.000000000000,4.0516129032258065,4.0516129032258065
Medical,463.000000000000,1585975.000000000000,53257437.000000000000,4.1891428571428571,4.1891428571428571
Music,23.500000000000,5715466.500000000000,325171000.000000000000,4.2541666666666667,4.2355555555555556
Music & Audio,0.500000000000,684.500000000000,250000.000000000000,4.3000000000000000,4.3000000000000000
Music & Video,23.500000000000,2050818.000000000000,195355500.000000000000,4.2276595744680851,4.2276595744680851
News & Magazines,283.000000000000,54400863.000000000000,7496317760.000000000000,4.1321888412017167,4.1321888412017167
Parenting,53.000000000000,935725.500000000000,26081110.000000000000,4.3000000000000000,4.3177777777777778
Personalization,392.000000000000,89346140.000000000000,2325494782.000000000000,4.3359872611464968,4.3359872611464968
Photography,335.000000000000,213516650.000000000000,10088247655.000000000000,4.1921135646687697,4.1921135646687697
Pretend Play,45.000000000000,4190018.500000000000,234012100.000000000000,4.2460674157303371,4.2460674157303371
Productivity,424.000000000000,114116975.000000000000,14176091369.000000000000,4.2113960113960114,4.2113960113960114
Puzzle,153.500000000000,48505652.000000000000,1824481811.000000000000,4.3864864864864865,4.3881040892193309
Racing,108.500000000000,91754420.000000000000,2106877320.000000000000,4.1982456140350877,4.1869565217391304
Role Playing,116.000000000000,23014580.500000000000,393390720.000000000000,4.2689075630252101,4.2720000000000000
Shopping,260.000000000000,115041222.000000000000,3247848785.000000000000,4.2596638655462185,4.2596638655462185
Simulation,209.000000000000,35653130.000000000000,852953070.000000000000,4.1721698113207547,4.1623152709359606
Social,295.000000000000,621241422.000000000000,14069867902.000000000000,4.2555984555984556,4.2555984555984556
Sports,400.000000000000,193637784.500000000000,2872524498.000000000000,4.2379821958456973,4.2373134328358209
Strategy,109.000000000000,327284089.500000000000,1975487605.000000000000,4.2560747663551402,4.2509523809523810
Tools,842.500000000000,273013876.000000000000,11447771915.000000000000,4.0474114441416894,4.0471029311520109
Travel & Local,257.500000000000,62617474.000000000000,6868837146.000000000000,4.1092920353982301,4.1093126385809313
Trivia,38.500000000000,7175959.000000000000,128606420.000000000000,4.0392857142857143,4.0392857142857143
Video Players & Editors,175.500000000000,110400061.500000000000,6224502720.000000000000,4.0631901840490798,4.0635514018691589
Weather,82.000000000000,14604735.000000000000,426100520.000000000000,4.2440000000000000,4.2440000000000000
Word,29.000000000000,6828543.000000000000,269172550.000000000000,4.4107142857142857,4.4107142857142857
